srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food ( NSSF ),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department,YearCode,Year
RAJASTHAN,2011-12,Budget Estimates,5193474,3281574,2077694,1141897,246924,55082,159761,3931,147009,50158,11002,95384,96148,64213,6184,1203879,229969,107354,7024,36937,0,1519,57986,0,0,10730,0,7702,717,377581,0,146524,122930,21688,0,216334,215685,19731,3515,16217,0,126176,121676,4500,3629,83876,40697,2408,30789,9981,1885524,50916,103207,103055,153,801247,0,801247,58389,539911,286174,223702,197808,5140,309899,12284,30541,217279,13081,36712,615547,4707,0,26376,26376,0,0,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2011-12,Budget Estimates,3540575,1690839,986766,516822,151345,17324,39647,0,6301,47517,18153,117853,16739,49007,6058,704073,124587,47317,8259,31552,4416,2019,7533,0,0,14354,0,8629,509,16820,0,118631,94967,12813,10852,302121,302000,17417,7870,9547,0,61413,29941,31472,1800,61284,9160,414,48125,3585,1702376,43848,44960,42808,2152,653001,0,653001,18975,526406,256000,243176,86330,21289,472375,12915,21577,279217,50410,108256,482187,6006,4810,147360,147360,0,0,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2011-12,Revised Estimates,3659943,1840610,1138732,615451,151877,17323,44911,0,2740,64451,16147,134085,16839,69008,5901,701877,114582,32322,8076,28803,2629,2080,8333,0,0,15371,0,16442,526,19408,0,116541,92423,13513,10605,320821,320699,9990,6094,3897,0,58025,29541,28484,1232,61278,8555,1735,47626,3363,1643411,56070,44962,42934,2028,627087,0,627087,19764,487232,231032,228416,95285,24806,428141,13397,21825,292696,50642,49581,480328,6824,4810,175922,175922,0,0,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2011-12,Accounts,3304532,1551058,924651,528957,139810,15269,39804,0,2363,28579,14343,101005,12872,36524,5125,626408,86387,21793,4854,26129,1245,1341,7319,0,0,14565,0,8632,509,13896,0,99004,76025,13125,9854,320090,320007,5286,4876,410,0,69307,38540,30767,486,31952,4346,133,25082,2391,1678794,49412,37865,35922,1943,628001,0,628001,20624,484724,229687,227349,98176,24477,392286,12276,19560,285421,30108,44921,565720,5510,4507,74680,74680,0,0,2011,"Financial Year (Apr - Mar), 2011"
ASSAM,2011-12,Accounts,2652856,1437528,1027717,613264,129077,17024,28565,1487,35966,50717,10374,70651,37679,28362,4550,409811,119181,50646,3555,18962,2882,5402,25381,0,8836,15426,0,5240,523,81186,18561,49234,5965,23463,19540,10192,10157,31909,19952,11957,0,72606,61909,10697,1302,25639,17531,1586,34,6487,970774,24801,25932,25787,145,220750,13300,207450,13617,153152,92533,54579,40681,0,360062,102355,10230,179881,22471,45125,313607,25622,0,244554,244554,0,0,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011-12,Budget Estimates,3467887,2389204,1396852,713623,125064,11775,90931,1855,119501,33978,23913,224927,18753,25823,6709,992352,173838,61242,5226,36906,383,2464,22102,0,1353,24419,0,19568,177,110149,0,126498,107546,835,0,333406,332111,10942,5520,5422,0,206854,81082,125772,1590,29074,24944,230,1000,2899,1068407,40286,25547,25445,102,453199,15222,437977,17253,346636,145127,125705,70897,3191,224247,8201,11919,160432,21547,22149,325010,119,12,10276,10276,0,0,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011-12,Revised Estimates,3604925,2505570,1486971,709709,130245,11775,142986,1875,148242,34356,23392,223509,14965,38112,7805,1018599,166557,55092,4814,37178,267,2321,22534,0,1317,24416,0,18467,151,116592,0,140804,121953,734,0,359209,358018,11171,5730,5441,0,193309,76432,116877,2680,28279,24939,272,100,2967,1082932,50738,26002,25896,106,449545,15089,434456,14370,349288,134669,116945,67456,3341,231531,8859,12890,163767,23074,22941,325000,116,17,16424,16424,0,0,2011,"Financial Year (Apr - Mar), 2011"
HARYANA,2011-12,Accounts,3201489,2169564,1264167,628847,109437,10371,133620,2247,95419,24945,21553,201489,13869,15417,6953,905397,142109,38358,4416,34290,252,2250,20946,0,1194,22965,0,17294,143,109717,0,99722,84610,726,0,359124,358006,8916,4710,4206,0,159285,52609,106676,1196,25329,23333,270,0,1725,1021983,44212,24390,24300,90,415170,15089,400081,14366,313127,140405,116222,67027,5561,217657,8468,11731,154744,21536,21178,320416,138,17,9942,9942,0,0,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011-12,Budget Estimates,2403777,1617056,952439,511655,89220,20930,31215,2210,17709,74864,22378,102459,36813,36055,6932,664617,118503,49790,2823,12973,8243,3595,24481,0,0,8854,0,7325,419,208395,0,38281,29690,8091,100,105694,102194,24959,14241,10717,0,83988,26709,57279,0,84798,2988,780,78353,2677,786666,28608,31856,31600,256,239487,0,239487,22932,196199,56091,97751,20203,153,277107,7093,38368,207262,7434,16950,209609,0,0,55,55,0,0,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011-12,Revised Estimates,2519743,1692404,994276,516958,89316,20876,35636,2510,17916,82765,20274,113830,37483,48555,8157,698128,126274,49450,2841,13394,6622,4533,25769,0,0,8863,0,14353,450,205128,0,38296,29776,8105,100,86983,83483,23050,11488,11562,0,107686,29406,78279,0,110711,3113,929,103818,2851,827284,34382,33196,32919,277,240412,0,240412,22932,196838,56091,97751,20203,439,309684,7507,38109,232876,8486,22706,209609,0,0,55,55,0,0,2011,"Financial Year (Apr - Mar), 2011"
